id,title,url,images,interaction_statistics,created_at
aGywymz,I wish I was young again... - 9GAG,https://9gag.com/gag/aGywymz,"{'image700': {'width': 650, 'height': 642, 'url': 'https://img-9gag-fun.9cache.com/photo/aGywymz_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aGywymz_700bwp.webp'}, 'image460': {'width': 460, 'height': 454, 'url': 'https://img-9gag-fun.9cache.com/photo/aGywymz_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aGywymz_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aGywymz_fbthumbnail.jpg'}}","{'likes': 2, 'dislikes': 1, 'comments': 0}",2024-06-02 19:37:41
aoy02ew,"If true, this is a brilliant idea! - 9GAG",https://9gag.com/gag/aoy02ew,"{'image700': {'width': 526, 'height': 526, 'url': 'https://img-9gag-fun.9cache.com/photo/aoy02ew_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aoy02ew_700bwp.webp'}, 'image460': {'width': 460, 'height': 460, 'url': 'https://img-9gag-fun.9cache.com/photo/aoy02ew_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aoy02ew_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aoy02ew_fbthumbnail.jpg'}}","{'likes': 0, 'dislikes': 0, 'comments': 0}",2024-05-29 19:59:44
aAyrwz2,Tittle goes here - 9GAG,https://9gag.com/gag/aAyrwz2,"{'image700': {'width': 660, 'height': 725, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyrwz2_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aAyrwz2_700bwp.webp'}, 'image460': {'width': 460, 'height': 505, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyrwz2_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aAyrwz2_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyrwz2_fbthumbnail.jpg'}}","{'likes': 79, 'dislikes': 20, 'comments': 2}",2024-05-30 00:42:50
a5QPWNO,Terrifying! - 9GAG,https://9gag.com/gag/a5QPWNO,"{'image700': {'width': 600, 'height': 318, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QPWNO_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a5QPWNO_700bwp.webp'}, 'image460': {'width': 460, 'height': 243, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QPWNO_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a5QPWNO_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QPWNO_fbthumbnail.jpg'}}","{'likes': 42, 'dislikes': 10, 'comments': 1}",2024-05-31 21:31:00
adBYBrQ,No comment - 9GAG,https://9gag.com/gag/adBYBrQ,"{'image700': {'width': 700, 'height': 397, 'url': 'https://img-9gag-fun.9cache.com/photo/adBYBrQ_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/adBYBrQ_700bwp.webp'}, 'image460': {'width': 460, 'height': 261, 'url': 'https://img-9gag-fun.9cache.com/photo/adBYBrQ_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/adBYBrQ_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/adBYBrQ_fbthumbnail.jpg'}}","{'likes': 0, 'dislikes': 0, 'comments': 0}",2024-06-02 18:31:08
aO8bvGM,New adult themed Lego sets are on sale for summer - 9GAG,https://9gag.com/gag/aO8bvGM,"{'image700': {'width': 600, 'height': 597, 'url': 'https://img-9gag-fun.9cache.com/photo/aO8bvGM_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aO8bvGM_700bwp.webp'}, 'image460': {'width': 460, 'height': 457, 'url': 'https://img-9gag-fun.9cache.com/photo/aO8bvGM_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aO8bvGM_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aO8bvGM_fbthumbnail.jpg'}}","{'likes': 88, 'dislikes': 32, 'comments': 6}",2024-05-29 15:38:34
aGyVmdK,"The designer submitted this as a joke, instead of laughing they put it into production.",http://9gag.com/gag/aGyVmdK,"{'image700': {'width': 526, 'height': 704, 'url': 'https://img-9gag-fun.9cache.com/photo/aGyVmdK_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aGyVmdK_700bwp.webp'}, 'image460': {'width': 460, 'height': 615, 'url': 'https://img-9gag-fun.9cache.com/photo/aGyVmdK_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aGyVmdK_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aGyVmdK_fbthumbnail.jpg'}}","{'likes': 0, 'dislikes': 0, 'comments': 0}",2024-05-24 16:42:40
agm0ww1,"Here, you might need this today!",http://9gag.com/gag/agm0ww1,"{'image700': {'width': 700, 'height': 466, 'url': 'https://img-9gag-fun.9cache.com/photo/agm0ww1_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/agm0ww1_700bwp.webp'}, 'image460': {'width': 460, 'height': 306, 'url': 'https://img-9gag-fun.9cache.com/photo/agm0ww1_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/agm0ww1_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/agm0ww1_fbthumbnail.jpg'}}","{'likes': 1, 'dislikes': 0, 'comments': 0}",2024-05-23 17:05:00
aAyV5Zo,Riddle me this...,http://9gag.com/gag/aAyV5Zo,"{'image700': {'width': 526, 'height': 935, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyV5Zo_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aAyV5Zo_700bwp.webp'}, 'image460': {'width': 460, 'height': 817, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyV5Zo_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aAyV5Zo_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyV5Zo_fbthumbnail.jpg'}}","{'likes': 192, 'dislikes': 49, 'comments': 4}",2024-05-23 15:47:30
aXPEz1D,Chicken thoughts,http://9gag.com/gag/aXPEz1D,"{'image700': {'width': 526, 'height': 522, 'url': 'https://img-9gag-fun.9cache.com/photo/aXPEz1D_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aXPEz1D_700bwp.webp'}, 'image460': {'width': 460, 'height': 456, 'url': 'https://img-9gag-fun.9cache.com/photo/aXPEz1D_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aXPEz1D_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aXPEz1D_fbthumbnail.jpg'}}","{'likes': 2924, 'dislikes': 107, 'comments': 33}",2024-05-22 20:12:05
